# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.090398382478e-10       1.466427508774e-13      -5.656633085138e-12       0.000000000000e+00       4.796201012940e-12       7.936343120911e-13      -5.009694441427e-15 
  136       5.135597626835e-10       1.469168114464e-13      -5.702731452874e-12       0.000000000000e+00       4.697634925765e-12       7.810518859278e-13      -4.944637919867e-15 
  137       5.180739276664e-10       1.471256425676e-13      -5.746418686227e-12       0.000000000000e+00       4.601634613349e-12       7.689547370838e-13      -4.887229124262e-15 
  138       5.225810773465e-10       1.472691530748e-13      -5.787634477817e-12       0.000000000000e+00       4.508144045553e-12       7.572306292878e-13      -4.833491569762e-15 
  139       5.270798868166e-10       1.473473302607e-13      -5.826319380972e-12       0.000000000000e+00       4.417093720290e-12       7.457591516254e-13      -4.779199527315e-15 
  140       5.315689605547e-10       1.473602415781e-13      -5.862414847107e-12       0.000000000000e+00       4.328400340944e-12       7.344115587879e-13      -4.719873413020e-15 
  141       5.360468308662e-10       1.473080363399e-13      -5.895863263104e-12       0.000000000000e+00       4.241966493786e-12       7.230506113213e-13      -4.650775177482e-15 
  142       5.405120381408e-10       1.471909532219e-13      -5.926608234296e-12       0.000000000000e+00       4.157695556765e-12       7.115742953464e-13      -4.568525400677e-15 
  143       5.449633839567e-10       1.470093400212e-13      -5.954595386333e-12       0.000000000000e+00       4.075538787219e-12       7.000522453894e-13      -4.476146525251e-15 
  144       5.493997004297e-10       1.467636391120e-13      -5.979771714836e-12       0.000000000000e+00       3.995452349087e-12       6.886027151944e-13      -4.378517214852e-15 
  145       5.538197696044e-10       1.464543835409e-13      -6.002085385464e-12       0.000000000000e+00       3.917382273525e-12       6.773500208857e-13      -4.280800824233e-15 
  146       5.582223223802e-10       1.460821987622e-13      -6.021485772751e-12       0.000000000000e+00       3.841264226342e-12       6.664246405262e-13      -4.188450372217e-15 
